id	citations	year
2180783301	7	2016
1995405666	3	2000
1014697258	0	2010
1964038836	12	1999
2190177874	0	2015
2135588304	19	1912
1980271069	0	1995
1588809867	23	1994
2048854699	7	1996
2124168570	0	2010
2061326441	0	2014
1861826313	2	2015
1776088049	0	1965
2148223080	4	2015
2154274398	51	2009
187239196	1	1994
1619388616	0	2001
1606626450	75	2005
2182065323	10	2015
1988253479	7	2009
2082240612	0	2010
1534001668	0	2015
2137718253	1	2013
2112167883	30	1960
1545293501	0	2007
2070193265	31	2000
2018582298	14	1996
2151420704	0	2010
213191139	0	2010
2085069373	0	2010
2200761756	0	2015
2043527300	0	1998
1500287924	0	2011
1971748082	6	2014
2063547201	2	2009
2140428701	0	2007
1989384772	38	1998
2048666857	7	1966
1999031263	12	1994
2147733682	271	2014
2068758512	0	2009
2074134425	13	1990
2009101178	0	1948
2007573302	0	1994
2056938147	1	1998
1546558463	0	2011
18009198	26	2014
1894355586	0	1980
2041652374	11	1979
1581487822	5	1995
1953871274	0	2015
2157220615	64	2004
2067389516	0	1933
2072520550	0	2007
1426563158	0	2015
2033997120	2	1983
2080775562	1	1962
2021183342	36	2012
1531628913	22	2008
2230927037	0	2004
163529179	0	2009
2024723201	0	1994
2161402384	0	1986
2246687045	0	2010
2140252634	0	2012
2010055044	8	2011
2047891135	21	2003
2237606070	2	1910
2020954376	18	2014
2134911461	20	1995
2041614428	11	2012
2063053113	13	2002
1598257354	1	2015
2223986300	11	1990
184423466	0	2012
1953512746	0	2011
1525126281	56	2012
1594850908	0	2004
115154596	6	2000
1995849499	10	1986
1576714685	0	2010
1977435616	6	1974
2050085307	0	1994
1546027359	0	1983
1584002685	0	2001
2065723799	1	2014
2171410644	0	2008
1981118937	16	2005
1802197946	4	2007
1522896679	0	2013
2096822353	3	1923
1502181160	12	2012
2005184272	12	2008
2092613223	0	2007
1898029973	0	2010
2122393851	1	2009
2079520569	9	1999
2041260908	13	2015
1834850479	4	2004
2007063679	0	1977
2082460311	0	2010
2124621103	20	2014
1529575173	0	2010
2052370049	6	2011
2032069981	5	1987
1971428089	0	2013
2240672547	4	2009
2019191212	0	1987
1921726384	1	2015
2043538097	5	1883
1701006226	4	2011
1685375141	0	2014
1999494494	7	2011
2016640402	9	2007
1645769082	1	1987
2069796343	3	1939
2154866984	2	1999
2062622504	0	2012
1642004290	3	1996
2089199131	0	2013
2091557644	13	2010
1857312621	11	2006
1763400521	0	2012
1974748378	10	2014
1587450789	0	2007
2025209554	13	1994
1919187135	26	1987
1843998082	6	2015
118079154	7	1989
1984914311	0	2011
1005046320	0	2002
2092259089	1	1986
2020595903	2	1972
1611806849	0	2008
1991391331	0	2011
1495459235	0	1970
2170571245	7	1941
2082656304	0	1981
126581314	15	2013
2161516386	5	2008
2059007385	9	1952
2153692371	29	2011
1493522348	0	2008
2027613822	9	2015
2070302015	17	2009
1521852235	21	2007
1561211347	18	2007
2002531807	0	2006
1515333814	7	2012
2114841036	11	2013
2096649007	0	2015
2062302920	4	1995
2046884168	25	2008
2183125379	0	2010
2066813654	0	1973
2031096738	0	2004
122058667	0	2001
1418834927	0	1970
2199059059	0	2014
1902874010	0	1998
1981563641	214	2011
2019659110	0	1993
176287208	8	2005
2075626731	5	1999
2022397473	0	2014
2020994918	0	2010
2020905544	80	1967
107200022	0	2005
1995836938	68	2001
155742178	0	2009
2200277088	0	1980
2044769797	0	2012
2076317597	0	2009
1961256395	0	1998
2055638113	63	2005
2010611824	2	1984
2078262069	5	1982
2135644514	118	2004
2211548050	0	2007
1984014978	14	2008
1575949146	0	2010
1960547965	5	2012
2013928072	1	1982
2041941946	237	1972
1943457154	0	2009
1740025259	0	2002
1874261493	0	2011
2162328685	25	2004
1528001973	13	2003
2230894806	1	2008
2032895051	2	1899
1533552227	0	2010
1969398718	15	2007
2023579205	30	1994
2026646493	2	1950
1840855636	48	2002
1991944916	3	1988
1764862397	0	2007
2165321030	31	1983
1991047762	3	1981
2129269306	0	2009
1558292135	0	2015
1990229775	0	2006
1024299290	0	2009
1529518267	0	2004
2022042886	6	2000
197532442	0	2003
2241866459	0	2013
1610735362	0	2005
2090299089	4	2015
2020487942	21	2011
2156112364	9	2007
2138746058	0	2008
2001764146	114	1984
2042605677	9	2008
2100222247	10	1994
1983295482	0	2008
2085956871	19	2009
2177898145	0	2011
1166177236	0	2010
2184899284	0	2006
2039435575	2	1992
2082329599	18	1981
2051708780	1	1987
1571635923	149	1987
1921268348	0	1973
2003665219	90	1992
180559687	3	1947
2092503750	55	1967
1576317074	9	2004
